Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ja'Marr Chase (40929472),Ja'Marr Chase,40929472,WR/FLEX,8000,CIN@BAL 11/27/2025 08:20PM ET,CIN,20.67
WR,Rashee Rice (40929474),Rashee Rice,40929474,WR/FLEX,7500,KC@DAL 11/27/2025 04:30PM ET,KC,20.84
RB,Derrick Henry (40929422),Derrick Henry,40929422,RB/FLEX,7300,CIN@BAL 11/27/2025 08:20PM ET,BAL,15.81
WR,George Pickens (40929476),George Pickens,40929476,WR/FLEX,7000,KC@DAL 11/27/2025 04:30PM ET,DAL,21.13
WR,CeeDee Lamb (40929478),CeeDee Lamb,40929478,WR/FLEX,6900,KC@DAL 11/27/2025 04:30PM ET,DAL,16.05
QB,Lamar Jackson (40929409),Lamar Jackson,40929409,QB,6800,CIN@BAL 11/27/2025 08:20PM ET,BAL,18.94
QB,Patrick Mahomes (40929410),Patrick Mahomes,40929410,QB,6500,KC@DAL 11/27/2025 04:30PM ET,KC,22.72
RB,Chase Brown (40929424),Chase Brown,40929424,RB/FLEX,6500,CIN@BAL 11/27/2025 08:20PM ET,CIN,14.07
QB,Dak Prescott (40929411),Dak Prescott,40929411,QB,6300,KC@DAL 11/27/2025 04:30PM ET,DAL,21.57
RB,Javonte Williams (40929426),Javonte Williams,40929426,RB/FLEX,6300,KC@DAL 11/27/2025 04:30PM ET,DAL,16.94
WR,Zay Flowers (40929480),Zay Flowers,40929480,WR/FLEX,6100,CIN@BAL 11/27/2025 08:20PM ET,BAL,13.3
QB,Joe Burrow (40929412),Joe Burrow,40929412,QB,6000,CIN@BAL 11/27/2025 08:20PM ET,CIN,7.93
WR,Tee Higgins (40929482),Tee Higgins,40929482,WR/FLEX,6000,CIN@BAL 11/27/2025 08:20PM ET,CIN,13.14
RB,Kareem Hunt (40929428),Kareem Hunt,40929428,RB/FLEX,5300,KC@DAL 11/27/2025 04:30PM ET,KC,10.72
TE,Jake Ferguson (40929542),Jake Ferguson,40929542,TE/FLEX,5100,KC@DAL 11/27/2025 04:30PM ET,DAL,13.83
RB,Isiah Pacheco (40929430),Isiah Pacheco,40929430,RB/FLEX,5000,KC@DAL 11/27/2025 04:30PM ET,KC,7.52
TE,Travis Kelce (40929544),Travis Kelce,40929544,TE/FLEX,5000,KC@DAL 11/27/2025 04:30PM ET,KC,13.41
QB,Joe Flacco (40929413),Joe Flacco,40929413,QB,5000,CIN@BAL 11/27/2025 08:20PM ET,CIN,16.41
WR,Xavier Worthy (40929484),Xavier Worthy,40929484,WR/FLEX,4500,KC@DAL 11/27/2025 04:30PM ET,KC,8.7
RB,Keaton Mitchell (40929432),Keaton Mitchell,40929432,RB/FLEX,4500,CIN@BAL 11/27/2025 08:20PM ET,BAL,3.26
WR,Andrei Iosivas (40929486),Andrei Iosivas,40929486,WR/FLEX,4300,CIN@BAL 11/27/2025 08:20PM ET,CIN,5.64
RB,Brashard Smith (40929434),Brashard Smith,40929434,RB/FLEX,4200,KC@DAL 11/27/2025 04:30PM ET,KC,3.98
QB,Gardner Minshew II (40929418),Gardner Minshew II,40929418,QB,4000,KC@DAL 11/27/2025 04:30PM ET,KC,-0.3
QB,Chris Oladokun (40929419),Chris Oladokun,40929419,QB,4000,KC@DAL 11/27/2025 04:30PM ET,KC,0
QB,Joe Milton III (40929420),Joe Milton III,40929420,QB,4000,KC@DAL 11/27/2025 04:30PM ET,DAL,3.48
QB,Will Grier (40929421),Will Grier,40929421,QB,4000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
RB,Elijah Mitchell (40929452),Elijah Mitchell,40929452,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,KC,0
RB,Clyde Edwards-Helaire (40929454),Clyde Edwards-Helaire,40929454,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,KC,2.1
RB,Keaontay Ingram (40929456),Keaontay Ingram,40929456,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,KC,0
RB,Carson Steele (40929458),Carson Steele,40929458,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,KC,0
RB,Dameon Pierce (40929460),Dameon Pierce,40929460,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,KC,0.65
RB,Malik Davis (40929462),Malik Davis,40929462,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,DAL,1
RB,Jaydon Blue (40929464),Jaydon Blue,40929464,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,DAL,2
RB,Phil Mafah (40929466),Phil Mafah,40929466,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
RB,Miles Sanders (40929468),Miles Sanders,40929468,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,DAL,6.92
RB,Hunter Luepke (40929470),Hunter Luepke,40929470,RB/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,DAL,1.96
WR,Hollywood Brown (40929488),Hollywood Brown,40929488,WR/FLEX,4000,KC@DAL 11/27/2025 04:30PM ET,KC,9.72
QB,Tyler Huntley (40929414),Tyler Huntley,40929414,QB,4000,CIN@BAL 11/27/2025 08:20PM ET,BAL,11.68
QB,Cooper Rush (40929415),Cooper Rush,40929415,QB,4000,CIN@BAL 11/27/2025 08:20PM ET,BAL,1.68
QB,Jake Browning (40929416),Jake Browning,40929416,QB,4000,CIN@BAL 11/27/2025 08:20PM ET,CIN,11.35
QB,Sean Clifford (40929417),Sean Clifford,40929417,QB,4000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
RB,Justice Hill (40929436),Justice Hill,40929436,RB/FLEX,4000,CIN@BAL 11/27/2025 08:20PM ET,BAL,6.52
RB,Samaje Perine (40929438),Samaje Perine,40929438,RB/FLEX,4000,CIN@BAL 11/27/2025 08:20PM ET,CIN,3.87
RB,Rasheen Ali (40929440),Rasheen Ali,40929440,RB/FLEX,4000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0.33
RB,Patrick Ricard (40929442),Patrick Ricard,40929442,RB/FLEX,4000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0.06
RB,Lucas Scott (40929444),Lucas Scott,40929444,RB/FLEX,4000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
RB,Tahj Brooks (40929446),Tahj Brooks,40929446,RB/FLEX,4000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0.26
RB,Gary Brightwell (40929448),Gary Brightwell,40929448,RB/FLEX,4000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
RB,Kendall Milton (40929450),Kendall Milton,40929450,RB/FLEX,4000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0.2
WR,Rashod Bateman (40929490),Rashod Bateman,40929490,WR/FLEX,3800,CIN@BAL 11/27/2025 08:20PM ET,BAL,5.49
TE,Mark Andrews (40929546),Mark Andrews,40929546,TE/FLEX,3600,CIN@BAL 11/27/2025 08:20PM ET,BAL,9.27
WR,Mitch Tinsley (40929492),Mitch Tinsley,40929492,WR/FLEX,3500,CIN@BAL 11/27/2025 08:20PM ET,CIN,2.26
WR,DeAndre Hopkins (40929494),DeAndre Hopkins,40929494,WR/FLEX,3300,CIN@BAL 11/27/2025 08:20PM ET,BAL,4.56
WR,Ryan Flournoy (40929496),Ryan Flournoy,40929496,WR/FLEX,3200,KC@DAL 11/27/2025 04:30PM ET,DAL,4.96
TE,Mike Gesicki (40929548),Mike Gesicki,40929548,TE/FLEX,3100,CIN@BAL 11/27/2025 08:20PM ET,CIN,3.09
WR,Tyquan Thornton (40929498),Tyquan Thornton,40929498,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,KC,6.38
WR,Jalen Tolbert (40929500),Jalen Tolbert,40929500,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,DAL,3.92
WR,JuJu Smith-Schuster (40929522),JuJu Smith-Schuster,40929522,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,KC,5.63
WR,Nikko Remigio (40929524),Nikko Remigio,40929524,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,KC,0.38
WR,Jalen Royals (40929526),Jalen Royals,40929526,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,KC,0
WR,Jimmy Holiday (40929528),Jimmy Holiday,40929528,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,KC,0
WR,Jason Brownlee (40929530),Jason Brownlee,40929530,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,KC,0
WR,KaVontae Turpin (40929532),KaVontae Turpin,40929532,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,DAL,5.36
WR,Jonathan Mingo (40929534),Jonathan Mingo,40929534,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
WR,Traeshon Holden (40929536),Traeshon Holden,40929536,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
WR,Parris Campbell (40929538),Parris Campbell,40929538,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
WR,Jalen Cropper (40929540),Jalen Cropper,40929540,WR/FLEX,3000,KC@DAL 11/27/2025 04:30PM ET,DAL,0
WR,Tylan Wallace (40929502),Tylan Wallace,40929502,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,1.32
WR,Devontez Walker (40929504),Devontez Walker,40929504,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,3.57
WR,LaJohntay Wester (40929506),LaJohntay Wester,40929506,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,-0.09
WR,Dayton Wade (40929508),Dayton Wade,40929508,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
WR,Cornelius Johnson (40929510),Cornelius Johnson,40929510,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
WR,Keith Kirkwood (40929512),Keith Kirkwood,40929512,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
WR,Charlie Jones (40929514),Charlie Jones,40929514,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0.54
WR,Jermaine Burton (40929516),Jermaine Burton,40929516,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
WR,Kendric Pryor (40929518),Kendric Pryor,40929518,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
WR,Jordan Moore (40929520),Jordan Moore,40929520,WR/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
TE,Noah Fant (40929550),Noah Fant,40929550,TE/FLEX,3000,CIN@BAL 11/27/2025 08:20PM ET,CIN,7.35
DST,Ravens  (40929588),Ravens ,40929588,DST,3000,CIN@BAL 11/27/2025 08:20PM ET,BAL,5
DST,Chiefs  (40929589),Chiefs ,40929589,DST,2800,KC@DAL 11/27/2025 04:30PM ET,KC,5.73
TE,Isaiah Likely (40929552),Isaiah Likely,40929552,TE/FLEX,2600,CIN@BAL 11/27/2025 08:20PM ET,BAL,3.22
TE,Noah Gray (40929568),Noah Gray,40929568,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,2.66
TE,Robert Tonyan (40929570),Robert Tonyan,40929570,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0.1
TE,Jared Wiley (40929572),Jared Wiley,40929572,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0
TE,Jake Briningstool (40929574),Jake Briningstool,40929574,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0
TE,Tre Watson (40929576),Tre Watson,40929576,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0
TE,James Winchester (40929578),James Winchester,40929578,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,KC,0
TE,Luke Schoonmaker (40929580),Luke Schoonmaker,40929580,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,DAL,1.3
TE,Brevyn Spann-Ford (40929582),Brevyn Spann-Ford,40929582,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,DAL,1.2
TE,Princeton Fant (40929584),Princeton Fant,40929584,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,DAL,0
TE,Rivaldo Fairweather (40929586),Rivaldo Fairweather,40929586,TE/FLEX,2500,KC@DAL 11/27/2025 04:30PM ET,DAL,0
TE,Charlie Kolar (40929554),Charlie Kolar,40929554,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,BAL,2.53
TE,Scotty Washington (40929556),Scotty Washington,40929556,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,BAL,0
TE,Drew Sample (40929558),Drew Sample,40929558,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,1.31
TE,Tanner Hudson (40929560),Tanner Hudson,40929560,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,2.91
TE,Cam Grandy (40929562),Cam Grandy,40929562,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,0.53
TE,Erick All Jr. (40929564),Erick All Jr.,40929564,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
TE,William Wagner (40929566),William Wagner,40929566,TE/FLEX,2500,CIN@BAL 11/27/2025 08:20PM ET,CIN,0
DST,Cowboys  (40929590),Cowboys ,40929590,DST,2400,KC@DAL 11/27/2025 04:30PM ET,DAL,4.82
DST,Bengals  (40929591),Bengals ,40929591,DST,2200,CIN@BAL 11/27/2025 08:20PM ET,CIN,3
